match_id,reception_quality,passing_quality,passing_type,attack_zone,attacker_distance,num_blockers,defense_position,attack_outcome,attack_type
9,3,5,Back,right_front,1.2,0,1_closed,defended,hard_spike
4,5,5,Middle,left_front,2.9,0,1_open,defended,line_shot
9,5,4,Middle,center_front,1.6,0,2_open,kill,hard_spike
5,3,2,Wide,center_front,0.8,0,2_open,defended,cut_shot
4,1,2,Back,left_back,2.7,1,2_open,defended,poke
3,3,4,Go,left_front,1.8,0,1_open,defended,hard_spike
10,5,1,Super,center_back,1.2,1,1_closed,defended,forearm_attack
6,2,2,Go,center_back,2.9,0,1_closed,defended,forearm_attack
6,1,4,Middle,center_front,1.8,0,2_closed,defended,cut_shot
5,3,3,Go,left_front,2.4,0,2_open,defended,hard_spike
8,1,2,Super,left_front,2.4,0,2_open,defended,poke
8,5,1,Go,right_back,0.3,0,1_open,kill,forearm_attack
5,1,1,Middle,left_back,2.4,1,2_closed,defended,poke
5,1,5,Middle,left_back,1.0,1,1_open,kill,cut_shot
1,3,1,Super,center_back,0.6,0,2_open,error,poke
2,2,5,Wide,center_front,3.7,1,2_closed,kill,line_shot
8,2,3,Middle,center_back,0.4,0,2_open,defended,poke
5,1,1,Super,left_back,0.3,0,1_closed,defended,poke
4,2,4,Super,center_front,2.6,1,1_closed,error,hard_spike
9,4,2,Super,center_front,2.7,0,2_open,defended,poke
3,5,4,Wide,center_back,1.2,1,1_closed,defended,poke
9,2,1,Close,right_back,3.0,0,1_closed,defended,forearm_attack
1,5,4,Go,center_back,2.8,1,1_open,blocked,hard_spike
2,1,5,Middle,left_front,0.9,0,2_open,error,line_shot
4,1,5,Wide,center_front,3.2,0,2_closed,defended,line_shot
8,5,5,Super,right_front,3.3,1,1_closed,defended,line_shot
6,2,1,Go,right_front,0.3,0,1_closed,defended,poke
3,2,5,Go,left_back,2.0,1,2_open,defended,hard_spike
1,2,5,Close,left_back,2.3,0,1_open,defended,hard_spike
8,2,3,Back,center_back,0.5,0,1_open,defended,line_shot
6,3,2,Super,left_back,3.3,1,1_closed,defended,forearm_attack
5,4,4,Wide,center_front,3.7,1,2_open,kill,hard_spike
3,2,5,Super,right_back,2.6,0,1_open,defended,hard_spike
4,2,5,Close,right_front,2.5,0,1_open,blocked,hard_spike
1,1,4,Wide,right_front,0.5,0,1_closed,kill,hard_spike
7,5,2,Middle,center_back,1.8,1,2_open,defended,forearm_attack
4,1,2,Super,right_front,2.5,0,2_open,defended,poke
2,1,1,Wide,center_back,1.1,0,1_open,defended,poke
8,3,5,Middle,right_front,0.4,0,1_open,defended,cut_shot
6,2,1,Wide,center_back,4.0,1,2_open,defended,poke
4,5,5,Close,right_front,2.5,1,1_closed,kill,hard_spike
5,4,4,Super,center_back,0.2,0,2_open,defended,hard_spike
1,4,5,Middle,center_front,3.8,1,2_open,defended,cut_shot
7,5,5,Wide,center_back,1.3,1,2_open,kill,hard_spike
9,5,4,Back,right_back,3.4,0,2_closed,defended,line_shot
3,1,2,Middle,left_front,1.7,1,2_closed,defended,poke
8,3,2,Middle,right_back,2.2,0,1_open,error,poke
3,3,4,Back,left_front,3.8,0,1_closed,defended,hard_spike
9,5,2,Go,right_back,3.8,0,2_open,defended,poke
3,2,1,Go,right_back,3.1,1,2_closed,defended,cut_shot
6,2,1,Super,center_back,1.7,0,1_open,defended,poke
7,4,2,Wide,right_back,3.9,1,1_closed,defended,poke
2,5,3,Close,right_back,1.3,1,1_closed,kill,hard_spike
5,4,2,Wide,center_back,0.5,0,2_open,defended,forearm_attack
6,5,5,Close,center_back,3.0,1,1_closed,error,hard_spike
6,5,4,Go,right_back,2.9,1,1_open,kill,line_shot
6,1,1,Close,right_back,2.2,1,2_open,defended,poke
5,2,3,Wide,center_front,2.9,0,1_open,blocked,line_shot
2,2,1,Go,right_front,3.4,0,1_closed,defended,forearm_attack
8,4,1,Wide,right_front,1.4,0,2_closed,defended,poke
3,5,1,Go,right_front,3.3,1,2_closed,defended,poke
6,1,5,Close,left_front,2.9,0,2_closed,kill,hard_spike
10,5,3,Super,center_front,1.3,1,2_closed,defended,cut_shot
2,2,3,Back,center_back,2.3,0,2_open,defended,cut_shot
4,2,5,Super,right_back,2.7,0,2_closed,kill,line_shot
5,4,2,Close,center_front,0.8,0,1_closed,kill,forearm_attack
4,5,3,Wide,right_front,2.9,0,2_open,defended,hard_spike
6,1,5,Go,left_front,3.2,0,2_open,kill,cut_shot
4,1,1,Super,left_back,0.8,0,1_open,defended,forearm_attack
5,4,2,Close,left_back,3.4,1,2_open,defended,poke
5,3,3,Back,center_front,3.4,0,1_open,defended,hard_spike
9,5,3,Super,center_back,2.8,0,1_open,defended,hard_spike
5,4,4,Middle,center_front,1.0,0,1_open,kill,hard_spike
1,1,5,Go,left_front,1.1,1,1_closed,error,poke
9,4,4,Middle,center_front,0.4,0,1_closed,defended,cut_shot
2,3,3,Middle,right_back,3.0,1,2_open,error,cut_shot
5,1,5,Back,center_front,2.5,1,2_closed,defended,cut_shot
9,4,3,Go,right_front,1.7,1,1_closed,defended,hard_spike
10,1,4,Go,right_back,2.5,1,2_open,kill,cut_shot
10,5,4,Go,left_front,2.8,0,2_open,blocked,hard_spike
6,2,1,Super,left_back,2.8,0,2_open,defended,poke
4,5,1,Wide,center_front,3.6,0,1_open,defended,forearm_attack
5,5,2,Middle,right_front,3.7,1,1_closed,error,forearm_attack
10,2,2,Middle,right_back,2.7,1,2_open,defended,forearm_attack
7,4,2,Go,right_back,0.8,0,1_closed,error,cut_shot
2,2,5,Middle,right_back,3.6,0,2_open,kill,cut_shot
8,1,2,Back,center_back,2.3,0,1_closed,error,poke
6,5,1,Go,right_front,1.1,0,1_closed,error,forearm_attack
8,1,3,Back,left_back,3.8,0,2_open,error,poke
10,5,5,Go,center_back,2.7,0,2_open,kill,cut_shot
6,2,5,Back,center_front,1.5,0,1_closed,kill,hard_spike
5,3,3,Wide,left_back,4.0,1,1_closed,blocked,hard_spike
7,3,5,Close,left_front,1.7,1,1_closed,defended,hard_spike
8,3,3,Back,center_back,1.7,1,2_closed,kill,cut_shot
4,5,4,Super,center_back,1.3,1,1_closed,kill,cut_shot
3,5,1,Back,left_back,2.8,0,2_closed,error,poke
5,1,2,Back,left_back,3.7,1,1_open,defended,poke
1,5,5,Middle,center_back,1.3,1,2_open,kill,poke
10,5,4,Middle,center_front,2.7,0,2_closed,kill,hard_spike
5,5,5,Super,center_front,1.9,0,1_closed,kill,hard_spike
1,4,2,Go,right_back,2.8,1,1_open,defended,poke
6,4,1,Go,right_front,3.2,0,1_closed,defended,forearm_attack
5,3,1,Middle,right_back,0.5,0,1_open,defended,poke
7,2,2,Middle,left_back,3.9,1,2_closed,defended,poke
10,1,5,Go,left_front,3.8,1,1_closed,error,cut_shot
7,3,1,Middle,left_front,1.6,1,2_closed,kill,poke
10,2,3,Middle,center_front,3.9,0,1_closed,error,hard_spike
6,2,3,Close,right_front,4.0,1,2_closed,defended,cut_shot
9,5,3,Close,left_front,0.6,0,2_closed,defended,hard_spike
7,2,5,Wide,center_back,1.6,0,2_open,defended,line_shot
2,4,2,Middle,right_front,2.7,0,1_closed,defended,poke
5,3,5,Wide,left_back,1.6,1,2_closed,defended,hard_spike
5,3,1,Back,left_back,0.5,1,1_open,error,poke
7,5,2,Back,left_back,1.5,0,2_open,defended,poke
4,4,2,Close,center_back,1.9,0,1_open,error,forearm_attack
6,2,2,Wide,center_front,1.7,1,1_open,error,forearm_attack
2,5,1,Go,center_back,3.0,1,2_open,error,poke
3,1,1,Close,right_front,1.9,0,2_closed,defended,poke
7,2,1,Close,center_back,3.4,0,2_open,defended,poke
10,3,4,Super,left_back,2.2,1,2_closed,kill,line_shot
5,4,5,Go,center_back,1.9,0,1_open,error,cut_shot
2,3,2,Super,right_front,1.1,0,2_closed,defended,poke
1,4,1,Go,center_back,3.6,1,1_closed,defended,poke
10,4,2,Wide,center_front,3.4,0,1_closed,defended,forearm_attack
5,4,4,Back,left_front,2.9,0,2_closed,kill,line_shot
6,3,1,Go,center_back,1.2,1,1_open,defended,poke
4,2,4,Close,right_back,2.3,0,1_open,kill,poke
2,1,2,Go,right_back,4.0,1,1_closed,kill,poke
10,5,3,Middle,left_front,3.5,1,2_open,kill,hard_spike
8,5,4,Go,right_back,2.1,0,1_open,kill,cut_shot
6,5,4,Back,left_back,1.4,1,1_closed,kill,line_shot
4,4,5,Super,center_front,3.4,1,2_open,blocked,cut_shot
8,4,1,Close,left_front,0.9,0,1_open,defended,poke
6,1,2,Back,right_back,2.1,1,1_closed,defended,poke
1,2,4,Super,center_back,3.8,1,1_closed,kill,line_shot
3,5,4,Middle,right_front,1.3,1,2_closed,kill,cut_shot
8,1,4,Go,center_front,2.1,1,1_open,error,hard_spike
1,1,2,Go,left_front,2.2,0,2_closed,defended,forearm_attack
2,2,4,Back,center_back,2.8,0,2_closed,blocked,hard_spike
9,1,4,Go,right_front,3.8,0,1_open,defended,cut_shot
1,2,1,Go,right_back,0.9,1,2_open,kill,poke
10,2,2,Close,right_front,1.7,0,2_open,kill,poke
1,4,1,Go,center_back,1.7,1,2_closed,error,forearm_attack
4,4,3,Close,center_front,2.2,0,2_closed,defended,line_shot
5,3,4,Close,center_front,0.8,0,1_closed,error,cut_shot
9,3,5,Wide,left_front,3.4,0,2_closed,defended,line_shot
8,5,1,Close,left_back,3.8,1,2_open,defended,cut_shot
4,4,4,Back,right_front,1.5,1,2_open,kill,cut_shot
4,3,5,Back,right_front,0.6,0,2_closed,blocked,cut_shot
9,3,1,Go,left_front,3.9,0,1_closed,defended,cut_shot
10,5,5,Wide,right_back,2.1,1,1_closed,defended,hard_spike
1,1,1,Go,center_back,0.7,1,1_closed,defended,forearm_attack
10,4,1,Go,right_back,3.0,1,1_closed,defended,poke
8,5,2,Wide,center_back,3.9,0,1_closed,kill,poke
8,2,3,Wide,center_back,1.6,1,2_closed,defended,hard_spike
9,2,4,Back,left_front,1.5,1,2_closed,defended,cut_shot
4,1,1,Middle,right_back,2.0,1,1_closed,defended,forearm_attack
6,1,5,Middle,center_back,0.7,0,2_open,defended,cut_shot
4,5,5,Middle,right_front,0.8,1,2_open,defended,line_shot
7,4,3,Go,center_front,3.3,1,2_closed,blocked,hard_spike
4,3,2,Back,right_back,0.9,1,1_closed,defended,poke
3,5,5,Close,right_back,1.9,1,1_open,defended,line_shot
5,3,3,Back,left_back,3.5,0,2_closed,defended,hard_spike
1,2,3,Back,right_back,0.9,0,2_open,defended,hard_spike
4,1,5,Middle,left_front,2.8,0,1_open,error,cut_shot
10,1,2,Super,right_back,0.7,0,1_open,defended,poke
8,5,3,Close,right_back,2.6,1,2_open,error,hard_spike
4,2,2,Middle,right_front,0.3,1,2_open,defended,poke
8,2,3,Back,center_front,0.5,0,2_open,kill,cut_shot
1,5,1,Middle,right_front,0.4,1,1_open,kill,poke
10,5,2,Go,center_front,2.1,1,2_closed,defended,forearm_attack
1,3,5,Go,left_front,1.4,1,1_closed,error,hard_spike
5,1,4,Middle,left_back,2.2,1,1_open,kill,hard_spike
9,3,3,Super,left_front,3.4,1,2_closed,error,cut_shot
7,5,4,Super,left_front,3.2,1,1_closed,blocked,cut_shot
6,3,4,Super,right_front,1.3,0,1_closed,error,poke
9,5,2,Middle,center_front,4.0,1,1_closed,defended,forearm_attack
7,5,5,Go,center_back,2.4,0,1_open,defended,hard_spike
1,2,1,Go,left_back,1.6,1,1_closed,defended,poke
7,2,5,Back,right_front,2.0,1,1_open,defended,cut_shot
4,5,1,Back,center_front,1.4,0,2_closed,error,poke
7,5,4,Back,right_front,4.0,1,1_closed,kill,line_shot
7,4,3,Super,right_back,3.4,0,1_closed,blocked,hard_spike
2,5,2,Wide,center_back,1.2,0,2_open,defended,poke
8,4,3,Super,right_back,2.5,0,2_closed,kill,cut_shot
4,1,2,Back,right_back,0.8,0,2_open,defended,poke
1,4,2,Back,right_back,2.0,1,1_open,defended,poke
9,3,4,Super,center_back,0.7,0,2_open,error,cut_shot
10,3,4,Super,left_front,1.3,1,2_closed,defended,line_shot
2,1,2,Super,left_back,0.7,1,1_open,defended,forearm_attack
5,1,5,Super,left_front,2.7,0,2_open,defended,poke
4,3,3,Wide,left_front,1.8,1,2_open,defended,hard_spike
4,1,3,Super,center_back,1.0,1,2_open,kill,poke
7,4,2,Go,right_front,3.7,1,1_open,defended,poke
9,3,4,Close,right_front,1.0,1,1_open,kill,cut_shot
2,2,2,Wide,left_back,3.9,1,2_closed,defended,poke
6,3,5,Close,center_front,1.1,0,2_closed,defended,hard_spike
9,4,1,Super,center_back,0.9,0,2_closed,defended,cut_shot
3,4,2,Super,left_back,1.9,1,2_open,defended,cut_shot
2,5,2,Middle,center_front,0.3,1,2_closed,defended,cut_shot
7,2,2,Back,right_back,2.2,1,1_closed,defended,poke
8,3,1,Go,center_back,0.4,0,1_closed,defended,poke
8,3,4,Back,center_back,3.2,0,2_closed,defended,hard_spike
10,2,5,Go,left_back,0.5,0,2_open,kill,hard_spike
7,4,1,Close,right_front,3.6,0,1_open,defended,forearm_attack
2,2,3,Middle,right_front,2.0,0,1_closed,defended,hard_spike
5,5,5,Wide,center_front,0.3,0,1_open,blocked,cut_shot
4,2,1,Go,center_back,0.6,0,1_closed,kill,forearm_attack
1,3,1,Back,right_back,3.8,0,1_closed,defended,poke
10,4,3,Go,left_back,3.2,1,1_open,kill,cut_shot
2,4,4,Middle,left_front,3.5,0,1_closed,kill,line_shot
3,1,4,Go,left_front,1.8,0,1_open,error,poke
3,2,1,Close,left_back,3.1,1,2_closed,defended,cut_shot
10,1,2,Back,left_front,2.0,0,2_open,defended,poke
7,1,1,Go,center_back,0.9,1,2_open,kill,poke
1,3,3,Go,right_front,1.4,1,2_open,kill,line_shot
9,5,2,Wide,left_back,0.8,1,2_closed,defended,forearm_attack
3,4,2,Back,left_front,2.6,0,1_open,defended,poke
5,4,4,Go,right_front,2.7,1,2_closed,kill,line_shot
10,5,3,Super,left_front,1.6,0,2_closed,defended,line_shot
1,2,4,Go,left_back,1.1,1,1_closed,kill,cut_shot
3,3,1,Wide,left_front,0.5,0,1_open,kill,forearm_attack
9,4,5,Go,center_back,1.7,0,2_closed,kill,line_shot
5,3,2,Wide,left_back,3.5,1,1_open,defended,poke
2,2,3,Wide,right_front,1.8,0,1_closed,defended,poke
3,5,5,Back,left_back,1.0,1,1_open,kill,line_shot
3,5,4,Super,center_back,3.2,1,2_closed,kill,line_shot
6,3,1,Wide,center_front,1.2,0,1_open,defended,poke
1,1,1,Close,left_front,3.0,1,1_open,kill,forearm_attack
4,5,5,Close,right_back,2.3,1,2_closed,kill,line_shot
5,4,5,Super,center_front,2.9,1,1_open,defended,hard_spike
5,4,2,Super,right_front,3.8,1,1_closed,defended,poke
10,1,2,Go,left_back,1.3,1,1_closed,defended,poke
10,1,4,Go,left_front,3.6,1,1_open,kill,line_shot
6,3,4,Go,right_back,2.7,1,2_closed,kill,line_shot
10,4,1,Super,left_front,0.2,1,1_closed,defended,poke
6,1,4,Go,left_front,3.1,0,1_open,defended,line_shot
7,5,4,Wide,left_front,2.8,0,2_closed,error,line_shot
2,1,2,Middle,center_front,3.4,1,2_closed,defended,forearm_attack
7,5,2,Middle,left_front,1.8,0,2_open,kill,poke
6,3,1,Wide,left_back,1.1,1,2_open,defended,poke
2,4,2,Middle,right_front,1.9,0,1_closed,defended,poke
9,2,3,Wide,left_back,2.2,1,1_open,defended,poke
9,3,3,Close,left_front,1.3,1,2_closed,defended,hard_spike
10,5,2,Middle,center_back,1.3,1,2_closed,defended,poke
2,1,4,Back,right_back,1.1,0,2_open,kill,hard_spike
1,5,4,Super,center_front,1.4,1,2_closed,kill,cut_shot
5,4,3,Back,center_front,2.0,1,2_open,kill,cut_shot
7,3,2,Back,center_front,3.6,0,2_closed,error,poke
6,2,5,Wide,left_front,1.5,1,1_closed,defended,line_shot
8,5,1,Close,right_back,3.5,0,1_closed,defended,forearm_attack
8,2,4,Close,right_back,2.8,1,1_open,defended,line_shot
5,3,5,Middle,left_back,2.0,0,1_open,kill,line_shot
10,2,4,Go,center_back,2.0,0,1_closed,defended,cut_shot
7,1,2,Super,right_front,2.7,1,1_closed,defended,poke
8,3,5,Middle,left_front,1.2,1,1_closed,kill,hard_spike
5,1,5,Wide,center_back,2.6,0,1_closed,defended,line_shot
7,3,5,Back,left_back,3.4,0,1_closed,defended,poke
9,3,3,Super,right_back,1.3,1,2_closed,defended,cut_shot
8,2,3,Back,center_front,1.2,1,2_open,kill,poke
1,5,2,Go,right_front,0.6,0,1_closed,defended,cut_shot
6,2,3,Close,center_front,3.6,1,1_open,blocked,line_shot
9,2,3,Go,center_back,3.6,1,1_closed,error,hard_spike
10,3,4,Close,left_back,3.4,0,2_closed,kill,line_shot
9,4,1,Middle,right_back,2.2,0,2_closed,defended,forearm_attack
6,5,2,Back,left_front,2.8,1,1_open,error,poke
3,4,2,Middle,right_front,2.7,1,2_open,defended,cut_shot
8,3,4,Super,right_back,0.7,0,2_open,defended,hard_spike
2,1,3,Go,right_front,3.5,0,2_open,defended,hard_spike
4,5,3,Middle,right_back,2.7,1,1_closed,defended,cut_shot
8,5,2,Middle,center_back,3.5,0,1_open,kill,forearm_attack
5,2,4,Wide,right_back,0.9,1,1_open,defended,cut_shot
6,3,2,Close,center_front,3.6,0,2_open,defended,forearm_attack
1,1,3,Close,left_front,0.8,1,1_closed,kill,line_shot
9,3,5,Close,left_back,2.7,0,2_open,kill,line_shot
3,2,5,Go,center_front,1.9,1,1_closed,kill,hard_spike
10,1,2,Back,right_back,1.8,0,2_open,error,poke
6,1,2,Wide,right_back,4.0,0,1_closed,error,cut_shot
4,5,2,Back,left_back,2.2,0,1_closed,defended,poke
3,1,2,Middle,right_back,0.9,0,2_closed,defended,forearm_attack
4,4,4,Wide,left_back,0.4,1,2_closed,kill,line_shot
10,5,3,Super,left_front,1.2,1,1_closed,kill,cut_shot
6,4,5,Super,right_front,1.7,1,1_closed,kill,hard_spike
1,2,3,Wide,center_back,2.1,0,1_open,defended,cut_shot
9,3,5,Super,right_back,1.6,0,1_open,defended,hard_spike
4,4,2,Wide,left_front,1.4,0,2_open,defended,forearm_attack
7,2,4,Back,right_back,1.1,1,2_closed,kill,line_shot
10,1,5,Close,left_front,1.1,1,2_open,error,cut_shot
8,5,5,Close,left_back,1.5,1,2_closed,defended,line_shot
6,3,1,Back,center_front,1.8,1,2_closed,defended,forearm_attack
3,2,5,Super,right_front,3.9,0,2_open,error,hard_spike
6,3,3,Go,center_front,3.0,0,1_open,kill,hard_spike
2,4,5,Super,right_back,2.2,0,1_closed,kill,cut_shot
10,3,3,Middle,center_front,0.9,0,2_closed,blocked,line_shot
3,4,1,Go,left_front,2.8,0,1_open,defended,forearm_attack
8,1,1,Super,center_back,3.3,0,2_closed,error,forearm_attack
6,3,4,Super,center_front,2.2,0,2_closed,kill,line_shot
1,4,1,Wide,left_back,0.5,1,1_closed,defended,forearm_attack
1,2,4,Super,right_front,3.0,1,2_open,blocked,hard_spike
8,4,5,Close,left_front,3.3,0,2_closed,blocked,hard_spike
8,3,5,Back,left_back,3.2,1,2_open,kill,cut_shot
10,4,2,Back,right_back,0.5,0,1_open,defended,forearm_attack
2,2,4,Super,right_back,2.4,0,2_closed,kill,line_shot
9,5,5,Super,right_back,2.9,1,1_open,kill,hard_spike
9,5,1,Close,center_front,3.0,1,1_closed,defended,poke
7,5,3,Middle,center_back,1.7,1,2_closed,defended,line_shot
4,5,2,Super,right_back,3.7,1,2_open,kill,forearm_attack
10,5,4,Wide,right_front,1.2,0,1_closed,blocked,hard_spike
5,4,1,Super,left_back,3.2,0,2_open,defended,poke
5,4,3,Middle,left_back,1.0,0,1_open,kill,hard_spike
9,2,3,Close,left_back,2.5,0,2_open,kill,hard_spike
10,3,1,Back,left_front,0.9,1,1_open,defended,poke
3,2,1,Middle,center_back,2.1,1,1_closed,error,poke
1,3,3,Close,left_front,1.7,0,1_closed,defended,hard_spike
8,3,5,Close,right_back,2.1,0,2_open,kill,line_shot
10,2,1,Super,left_back,3.4,0,1_open,defended,forearm_attack
10,5,4,Middle,center_back,1.3,1,2_closed,defended,line_shot
2,3,5,Close,center_front,0.7,1,2_open,defended,hard_spike
3,1,5,Close,center_front,3.2,0,2_closed,defended,hard_spike
8,4,5,Middle,right_front,2.1,0,1_open,error,poke
10,4,4,Wide,center_front,2.5,0,2_open,defended,hard_spike
2,2,5,Go,center_back,2.8,1,2_closed,kill,line_shot
7,4,2,Middle,center_front,0.9,0,2_closed,error,poke
3,4,1,Super,center_front,2.6,0,1_closed,defended,poke
1,3,2,Middle,left_back,2.1,0,1_closed,defended,poke
6,3,5,Close,center_front,2.0,0,1_open,defended,poke
9,2,1,Close,left_front,1.4,0,1_closed,error,poke
7,4,2,Back,right_back,2.9,1,2_open,defended,cut_shot
1,1,5,Close,right_front,3.1,0,1_open,kill,poke
5,2,3,Super,right_front,0.9,1,2_open,defended,hard_spike
3,1,4,Middle,right_back,2.1,0,1_closed,blocked,hard_spike
6,3,5,Close,center_back,1.7,1,1_closed,kill,hard_spike
4,4,2,Close,center_front,2.0,1,2_closed,defended,forearm_attack
6,2,3,Go,right_back,2.3,1,2_closed,defended,line_shot
1,1,5,Close,left_front,2.6,1,1_open,kill,line_shot
4,3,1,Go,right_back,0.7,0,1_open,defended,forearm_attack
10,1,4,Back,right_back,1.5,0,1_closed,error,hard_spike
1,2,3,Close,left_back,2.8,1,1_closed,kill,poke
2,4,5,Wide,left_back,1.1,1,1_closed,defended,line_shot
10,5,1,Middle,center_back,3.8,0,2_closed,defended,forearm_attack
6,3,3,Super,right_front,1.4,0,2_closed,defended,cut_shot
